Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200507,0,0,0,0,0,0,0,0,0,0,27271,0,27271,2005,0
200507,0,0,0,0,0,0,1,0,0,0,29131,1,29131,2005,0
200507,0,0,0,0,0,0,2,0,0,0,5415,2,10830,2005,0
200507,1,1,1,1,1,1,0,1,0,0,35156,0,35156,2005,0
200507,1,1,1,1,1,1,1,1,0,0,34090,1,34090,2005,0
200507,2,2,2,2,1,2,0,1,1,1,6263,0,6263,2005,0
200507,2,2,2,2,1,2,1,1,1,1,5500,1,5500,2005,0
200507,3,3,3,3,1,3,0,1,1,2,12050,0,12050,2005,0
200507,3,3,3,3,1,3,1,1,1,2,11638,1,11638,2005,0
200507,4,4,4,4,1,4,0,1,1,1,4998,0,4998,2005,0
200507,4,4,4,4,1,4,1,1,1,1,4962,1,4962,2005,0
200507,5,5,5,5,0,0,0,0,1,2,8055,0,8055,2005,0
200507,5,5,5,5,0,0,1,0,1,2,7984,1,7984,2005,0
200507,6,6,6,6,0,0,0,1,1,2,36641,0,36641,2005,0
200507,6,6,6,6,0,0,1,1,1,2,39379,1,39379,2005,0
200507,6,6,6,6,0,0,2,1,1,2,3678,2,7356,2005,0
200507,6,6,6,6,1,1,0,1,1,2,7977,0,7977,2005,0
200507,6,6,6,6,1,1,1,1,1,2,8837,1,8837,2005,0
200507,6,6,6,6,1,5,0,1,1,2,6969,0,6969,2005,0
200507,6,6,6,6,1,5,1,1,1,2,10046,1,10046,2005,0
200507,6,6,6,6,1,5,2,1,1,2,2266,2,4532,2005,0
200507,7,7,7,7,1,2,0,1,1,1,6545,0,6545,2005,0
200507,7,7,7,7,1,2,1,1,1,1,6094,1,6094,2005,0
200507,8,8,8,8,0,0,0,1,2,3,166577,0,166577,2005,0
200507,8,8,8,8,0,0,1,1,2,3,160890,1,160890,2005,0
200507,9,9,8,8,0,0,0,1,2,3,5493,0,5493,2005,0
200507,9,9,8,8,0,0,1,1,2,3,5213,1,5213,2005,0
200507,10,10,9,9,1,2,0,1,1,2,5041,0,5041,2005,0
200507,10,10,9,9,1,2,1,1,1,2,4744,1,4744,2005,0
200507,11,11,10,10,0,0,0,1,0,4,1552,0,1552,2005,0
200507,11,11,10,10,0,0,1,1,0,4,1484,1,1484,2005,0
200507,12,12,11,11,1,3,0,1,1,2,325,0,325,2005,0
200507,12,12,11,11,1,3,1,1,1,2,545,1,545,2005,0
